zone,hour,ev_count,demand
E,8.0,223.0,173.0
E,9.0,200.0,170.0
E,10.0,178.0,155.0
E,11.0,177.0,150.0
E,12.0,196.0,52.0
E,13.0,204.0,79.0
E,14.0,215.0,89.0
E,15.0,215.0,96.0
E,16.0,177.0,68.0
E,17.0,189.0,343.0
E,18.0,235.0,341.0
E,19.0,221.0,284.0
E,20.0,221.0,373.0
E,21.0,180.0,267.0
E,22.0,222.0,112.0
E,23.0,228.0,62.0
A,0.0,163.79854224385923,107.89269194380044
A,0.966433889401459,167.9393496143993,111.8785127691511
A,1.9783130631704564,186.5163058532246,94.32039320015896
A,3.0526631612984723,187.6619610529624,96.42763860663156
A,3.9763425140615967,183.7444953537191,78.46013354807239
A,4.959332383821691,189.22024226530945,53.88356386683832
A,5.640621480877486,170.21353033158863,111.44024703281104
A,7.169519319615232,164.53672679675932,57.33067398377092
A,8.025043973867986,150.40788155185462,167.239228431454
A,8.753587852902273,169.10736641038542,158.84525150758782
A,10.37282962929674,191.53786873136156,141.25770361933814
A,10.66740122129037,202.0069418901222,166.84408519293385
A,11.993021429500333,173.00829843067729,60.883361341601365
A,13.201421954776857,199.6000155038348,97.12207212763992
A,14.18956282975966,187.32670036232707,116.5365040032062
A,15.128661981464113,181.56111358688835,69.54626789222263
A,16.051368676472126,149.93770402048995,58.95304615612574
A,16.783958170246517,177.54834013358428,285.79186777194985
A,17.82636237267998,164.2038707230466,254.240737685223
A,18.70950797505733,153.4087739211213,341.3837903598268
A,19.991143791572483,153.2276800127403,266.0483819884325
A,21.03367251907673,142.2680236855238,347.5513798905512
A,21.646976613807063,146.05464865719517,98.0007753836754
A,22.936961147569736,145.08067871061274,59.66642827802284
B,0.0,230.18118254915453,95.51839103577296
B,1.016492706140599,202.25552350266173,50.91972704301735
B,1.961788929768876,245.77528763545268,114.9958338054126
B,2.9607589708074165,198.1512233312949,51.4377980904676
B,4.138541361951535,201.0283864650365,48.65110732519999
B,5.068761108816212,200.45140995124973,95.67166644801848
B,6.04392618798215,225.697823384703,61.80102416936472
B,6.921588617840389,225.72402905767865,97.91788366273563
B,7.941987084282421,230.5528954733183,200.58378780276516
B,8.971838893383987,240.79594195566017,147.9678625625975
B,9.884463122417426,227.64873841190888,171.08213162233167
B,11.098276371372588,220.246952434107,151.51378119106406
B,12.410286748222305,248.143559095122,111.56052478344117
B,12.396554852273349,225.785792542508,108.48434610109598
B,13.765581629229631,240.93708609641956,79.53640272427928
B,15.897305051158703,206.7618429685161,101.77219134369513
B,15.282273929723186,211.45640558924728,93.3533300326377
B,16.548378156439504,235.0525935822588,369.7488360599434
B,18.51863892478457,253.8494508695728,360.09421294660143
B,18.97828639446997,244.58883829198177,271.07612064967134
B,20.8256780885894,199.69352347184423,332.05785223589737
B,21.08444022799073,231.49062797116295,393.2127133986528
B,21.8978084808228,207.80928463338543,91.663170509735
B,22.518947868407768,223.1815247647067,56.31694665266684
C,0.0,267.3429729367216,106.41693497690504
C,1.0127449983894228,247.00386578335323,59.1277558674168
C,2.045212175795384,242.5985209753649,99.96465651874507
C,2.987092250663043,218.7590792299497,80.2516885069905
C,3.976999960097365,254.95006506932967,51.84643078754598
C,5.046150941218102,221.42117428125465,107.87167808043178
C,6.08730923759557,221.1104993699577,91.9590641908619
C,6.864965073666278,272.25301440810074,61.42221255656276
C,7.90146762026229,223.04427141744213,164.6653915890771
C,9.402492148217563,231.93225106459263,168.91752900101704
C,10.2298228687102,254.83690227719163,125.08580578172946
C,10.907188110221448,221.7345425847704,155.02012023259155
C,11.883587651826709,216.1142805713898,88.81587399954138
C,12.906337756897932,243.63218770313708,72.36154684054132
C,13.890425982385702,240.2617060041711,98.5713774663782
C,15.313323125730124,272.8250890095818,101.06530184347484
C,16.365031517051655,259.3972815446899,91.34008922952788
C,17.36366392066534,210.42258686954688,264.1550366775976
C,17.848765785734045,232.8851475627633,251.6738960961722
C,18.96606110932931,235.20261949276968,263.035473250654
C,19.54611799307048,222.7596554471184,274.57599354143343
C,21.039507019440112,245.28411376693683,265.1899867531956
C,21.502207702580737,219.9331047232478,68.93109458081817
C,22.77800074066396,253.86562940346795,51.17505741757618
D,0.0,172.8231230918488,109.38023546406494
D,1.0095546594710083,177.03334662419658,73.98801954440995
D,2.011577262362074,186.7510905640993,73.98655853549954
D,3.017535880035917,152.7553876525909,96.65091898534492
D,4.011494791575101,185.51356758658272,117.9288515227476
D,4.8265385360627775,157.2027088827131,59.251681305099815
D,5.992017179774215,170.85014535890636,102.86400248312624
D,6.924206646961602,181.98108318910076,108.60751409303444
D,7.907182008157616,173.7902689158091,127.83508253707112
D,8.846240790650233,168.2933501742117,148.82302618096676
D,9.868746086990276,131.82743101761855,187.68117850826025
D,10.779769991118243,156.0824615544148,140.70970162852475
D,11.977107793673198,146.49400191310968,67.80641626010134
D,13.314731214128294,149.7105011134305,51.00211200443423
D,14.048726394385405,148.74886796523347,85.0144798395369
D,14.897781272992493,161.01704162427237,112.71104890588494
D,16.018237914352067,174.41838409453595,103.70654470952124
D,16.500563169539195,149.97462042858177,253.2302642268036
D,18.618938803958542,140.23822876052824,324.42647811413326
D,19.234396715286707,155.2671795021966,339.9015626407635
D,20.22674309359151,174.00871573623968,297.46136632667697
D,20.90666423443719,187.6180133579761,251.07200313058704
D,21.508111587697524,186.2256152313779,61.743202563609685
D,23.245686179966448,169.43083465014138,96.85393038503558
E,0.0,203.88727296003373,117.15588789168164
E,1.0064094465299986,205.27824687054328,65.89800953788662
E,1.9425914063302048,193.0309422685877,80.80067301453153
E,3.0085392919714176,186.2905134718628,70.45065922976252
E,3.933103672288433,196.10596156388428,61.18285158835925
E,4.945036546184229,219.33192185957824,48.27026899032217
E,6.023055523223556,185.0023501273514,78.94781624376068
E,7.086415294520054,198.1218319529715,88.12811275346876
E,7.965664161570545,216.18641543551792,168.52590606567168
E,8.808229667251306,194.12548679615463,170.6121827686058
E,10.354183299814457,177.64138352334209,159.29730121088087
E,11.063019890045286,179.7670468960507,145.90256881154656
E,11.734693810914871,199.9249444540749,52.97488989601754
E,12.787602626476358,213.95832147794107,81.24808470320426
E,13.956534047720128,218.25225830358832,90.49448972966472
E,15.109188478628582,210.8542170419844,96.99717279562634
E,16.3316124563066,179.31336217582125,69.86646559667558
E,16.896877702258344,184.1600578226244,339.9053326341552
E,18.353942818745388,229.57863995651127,338.96594451935067
E,18.89120058726153,224.8370752336701,291.22051497939185
E,21.02739999587139,213.9256436441855,373.9484044002183
E,21.092341799022325,179.99179657731344,268.5085986251762
E,21.17880051757584,226.1168470398729,114.00095689174115
E,23.301714610493264,230.9146369273419,62.61613953186952
A,0.0,162.17098920951926,104.6753058747102
A,0.995550833227476,167.0910104035974,112.84177594990602
A,1.9801720725552527,179.887035414083,94.37261090862148
A,2.957675501584544,179.7112738112046,94.38595402648212
A,3.86898774535686,185.9297117350953,76.39476220895386
A,5.070173523240483,180.90625081521927,51.451901633484354
A,5.980024890795167,173.60211377950856,119.06406258137308
A,6.947423892933816,170.24049179123085,54.78801011363276
A,7.855621965686221,148.60443575568917,166.72717060323555
A,9.104847274255064,173.21811687754573,163.86617422400192
A,10.403484093388078,184.56079072672964,132.9896968414828
A,11.23539828587571,196.22812919012964,165.82321354968371
A,12.177494806690962,173.4632247809746,59.726531692873735
A,12.93717682151516,190.04084908155588,98.11933519861591
A,14.35327263548363,186.5822969023009,117.31749366539654
A,15.015802944682337,179.34090674053476,68.73408581154659
A,16.11828150775925,156.8069657779845,59.393453770620695
A,16.899607506471177,181.10889914572735,289.7072565965748
A,17.82162284657496,164.64149024090975,265.65688407754214
A,19.00007675410136,150.9235742343244,339.34267801186627
A,19.794331903582744,151.87592958633803,283.6651347290324
A,20.59828717002048,139.92205533299142,350.84189938709915
A,21.42135572654525,140.7905000958985,101.2465251868218
A,23.218134657765063,148.59909909972018,60.30445725638514
B,0.0,233.65414900029708,97.21490199800562
B,1.027628490020139,213.46277292783063,52.07882677089042
B,1.9846842619993408,246.0797346599613,112.69671653440469
B,3.016540887811,198.04331693447517,49.96849952884408
B,3.837313324448609,206.0958784704779,50.039448841928014
B,4.968007982257102,195.10515051831203,99.41313810079438
B,5.9023956843261685,214.8861079125093,60.55667086245878
B,6.924053363355107,217.8373491707586,96.63289447848771
B,7.937880788998073,227.75804426859992,201.0951957404469
B,9.06384317129714,231.69089037406712,150.1842615709551
B,9.777651338534442,234.84001741221985,180.05302608591472
B,10.730718269703946,219.16303132743872,143.09947173931732
B,11.90069835285975,251.33023452790167,109.0160253227541
B,13.18639364438942,228.53625008439369,112.3737624110424
B,14.028429061627898,246.724292979944,78.95748482755572
B,15.34657503800392,222.18052619635503,103.29585031364114
B,15.9561899719464,220.94058579259163,95.10053663867085
B,16.966680065682784,230.80241745550663,344.9146021597465
B,18.596143793182105,247.84006520095647,361.3263836828638
B,18.590830425531905,240.25988168844805,274.75117841794645
B,19.602850940469107,201.52583775272245,343.1688284287326
B,21.146088331538447,234.5244234827837,383.5517862733743
B,22.014582094541865,208.26146295391408,88.68469472256191
B,22.96616086755718,219.5293609213929,55.39009923278452
C,0.0,266.6902692756645,104.86615685203466
C,0.9882936528135546,252.19587823929285,64.86435363294666
C,2.037588320520213,241.8602202008046,96.67017514780244
C,2.9298075525904954,221.81435391715308,81.60444330837078
C,4.095125428823733,270.4339150816816,50.54372531574485
C,4.824369133082931,233.4586747109179,110.00582826508246
C,6.174912630023347,210.26368819525075,92.233419432375
C,6.915054524387015,278.2227269456533,62.22511201527049
C,8.174597787910134,213.1652071652214,172.622912606251
C,9.166228053439044,232.2267316305882,162.9275751014719
C,9.855813967555155,249.62815390049943,128.3073748914809
C,10.960984847349248,221.7069669750666,155.2856174743614
C,12.009797758548046,220.83045313497684,92.47908663824852
C,13.424268899756369,233.39236963046147,71.34072310511414
C,14.05480217484826,246.6825409846737,99.4116258960742
C,15.349508637600689,267.3941712240018,97.0391176088856
C,16.123595793702698,255.9346130820441,91.80782903581468
C,17.088907647714088,209.6897141052993,271.1226004871135
C,18.14503370846068,246.78039276627737,247.1770933141992
C,19.20318844256076,234.47657468479525,257.88649358352296
C,19.610176946771155,222.33091464721744,278.2469657576007
C,21.018324981275512,250.2684015769848,269.5681119064562
C,22.04767955656116,218.0782454858019,68.66925291594562
C,23.064055903739,258.46967858642114,53.213296119378654
D,0.0,172.15245454219323,110.7725213301447
D,1.0130679871354644,179.16976998207528,75.38969255965263
D,2.001915426460128,177.16062655752953,70.74923462018609
D,2.9838613053563057,154.3444080195389,93.05247115080977
D,3.8293132886158743,183.8437170077432,119.58581956029178
D,4.838426988301677,146.5759626665556,57.290181346623406
D,5.884145907335479,166.4019731912313,103.19213602969955
D,7.094339605873677,181.9401168712681,117.0389608059494
D,7.870393102377938,159.465207682405,131.498047065858
D,9.069643645204271,168.367889068759,154.36656095822647
D,9.848979931123049,132.23647522694023,191.30464901846807
D,11.009828356983707,158.32731680398214,138.50097857639344
D,12.091712745991543,142.54347529377705,66.88409358665501
D,13.28081949284163,147.86252503869315,50.94477367498052
D,14.095046046549886,148.2050424702939,85.66342213743879
D,15.035424718616008,163.1639100393724,113.9933005679172
D,15.957858333985982,178.6139960535933,109.59924855107283
D,16.9834396948552,145.4352722193845,250.7392110117648
D,18.05465250349626,138.75722918696766,327.74144281216775
D,18.853300259230146,155.22254294002744,369.563435845075
D,20.18011270996585,166.70829655604547,304.1104706382359
D,21.37279920350918,186.87072676723463,271.1320068983926
D,22.08632339458519,184.67814760026312,64.84961983917462
D,23.34517061264092,182.6191925032135,98.74902345647186
E,0.0,198.6065987899468,112.74330873274032
E,0.9757504400785002,203.5353582648136,66.56549309844846
E,2.0377912484383827,192.47602936822005,79.60787227283961
E,2.969761382456901,187.59977542420404,70.2500848861776
E,3.9760828925015663,202.1922628480076,60.11639085774944
E,5.033989062303938,226.18392386657013,52.253762082427365
E,5.864777868528929,186.6782689945156,82.96852364945109
E,7.032097961260543,191.00995967383224,85.05281451822624
E,8.011104160500501,231.38977994479703,169.39065900196275
E,9.021169594744162,197.38449589363165,172.98979057890742
E,9.888430578245158,183.9609581361922,156.78973621425075
E,11.24348760690518,173.92454799552976,150.88456917147354
E,11.542268383092944,192.2910902440279,50.97663554454305
E,13.123593710582536,209.791718837988,80.44019001517738
E,14.372080757423022,216.7402229584117,88.67181720310217
E,15.285699904484604,214.42713834660435,94.2877442981527
E,15.918988464139664,167.146108073789,67.48111960904991
E,16.714049695532417,188.4253962171036,336.08033484933674
E,18.164139163277344,238.6049978337876,331.8777300626341
E,18.798697807441982,221.16215634151385,282.4953938696676
E,19.753209678838715,216.1294041294445,377.2641231178601
E,21.434256167239496,179.18561519378085,265.467904946595
E,22.430026859335342,226.82360588092777,110.79053501896968
E,22.56478464631077,230.6893846472697,61.258010000361104
A,0.0,172.77537604060106,102.24549535612778
A,1.0309590889432934,168.07610145353604,112.03491472743112
A,1.974702696280481,172.6390768488947,95.2113601104093
A,3.0031447980597497,190.06690066171103,99.30380812371816
A,4.098989293524124,189.3308828455493,77.69268282028207
A,4.854554400016858,185.78023520815668,52.18724535266644
A,5.997240175911864,180.63378709601136,112.06201683719556
A,6.861620955851927,172.58903624263934,56.47377084673912
A,7.955079401898976,145.02338510389654,170.35735085506437
A,8.810001157088072,172.09959942734093,167.45028659763702
A,9.85766357599718,190.8292137753105,141.86189107890425
A,10.971087866805329,187.7631637396169,163.3870090484413
A,11.89110965323804,176.69653355428076,61.86426115713616
A,12.764078365764098,189.67850800637711,96.34938472690637
A,13.956001567001794,189.59353873339813,112.29138931314972
A,15.08092668477553,177.944295208195,65.96161318874533
A,15.607494347478966,153.57943561810075,59.35719357355314
A,16.68991661065999,186.91393329156296,280.2976134602552
A,17.571566578037167,160.20775155072545,260.59261808507426
A,19.264605693462524,149.3843052020013,334.78962787820484
A,20.813045260873288,153.39726801823056,283.5722278072534
A,20.789015103792707,139.95687721765523,347.75392005324983
A,21.843792579253133,147.7421339108001,100.14096517641576
A,22.838761314504342,148.1106460950287,60.05917898539937
B,0.0,236.4231141221028,96.0137981163728
B,1.0226682069207378,208.0260803105908,51.30375885856694
B,1.9961021283863167,233.0353443374769,113.8008975783798
B,2.9908661814907718,195.8909293036444,49.43621684925256
B,3.9172266330724415,210.6971369611369,51.14393636872169
B,4.9312014054328905,195.93882082117403,95.22717920035085
B,6.036381012753129,228.90756235204657,62.76521195042373
B,7.13186099551643,214.22998709243603,101.0065412336806
B,8.227491940852984,229.0816765322968,195.4898428167577
B,8.842248298779099,237.36009517092,153.94251429367935
B,10.008793297473115,234.23705762351176,178.43603980239223
B,10.769366710346906,220.66907245855683,152.5083584657963
B,11.8461345477368,245.910630633886,111.7923760864592
B,12.972227884694004,229.60511180684176,111.66098790472438
B,13.67793216717196,244.5394201903412,75.73310592848429
B,14.828155864323064,219.47217172845555,103.73699009250716
B,16.147119511983938,216.6198020846698,96.7793165152586
B,16.816878792130172,238.3701495745816,342.9725434949206
B,17.91905126641773,258.56358671906264,347.1093213552568
B,18.93587444847388,227.99912533363408,271.92242056023844
B,19.724225287689457,203.6472403805877,343.15377338416704
B,20.813234952464114,226.8933558700227,398.9588021398105
B,22.10149487532532,206.01212582189356,90.51035264209813
B,22.98944292772245,225.4434157619844,57.655624470122966
C,0.0,280.25519657221633,104.64383259116156
C,0.9967167399874248,242.3725132371955,63.48834558592977
C,1.942418175521598,249.78112565216992,99.447533325321
C,2.9055286984361857,233.2286679517649,81.57382384861717
C,3.855228393691106,268.1216887323684,50.62698344459557
C,5.018155134643041,224.92289079291328,108.70288109322604
C,6.048799501351468,218.25760393105952,88.98259742131411
C,6.998696088388263,276.2244200368042,62.28892335996181
C,8.10655194799942,219.8528589615459,170.93305841778377
C,9.087258445854268,228.309147914831,161.1732998320216
C,10.303752015094672,246.16408066672471,128.42388356803338
C,11.050554288442443,220.56026995890676,157.6227285324126
C,11.97628451093533,223.4214826072219,88.08998377276959
C,12.857811426314411,234.6099478159225,69.98057399763674
C,13.691764225252983,236.0775417818816,99.02173745404365
C,15.283447324236448,270.0377373491982,98.04817352808372
C,16.289368585510697,251.8153641241816,92.36646392065084
C,17.53762089461283,215.37846903892483,274.23197756325925
C,17.77248249348216,253.88835109208384,254.8467339376204
C,19.13925459271972,236.7132704691005,261.9316449971461
C,20.098639650486696,225.31192823457656,268.2355623229479
C,21.10603383434339,241.8376187274467,273.05199206722773
C,21.842956939273424,216.7403807659209,69.21964445779743
C,23.28090556646669,264.80750964603703,53.57645068833747
D,0.0,173.5564968355908,111.242842584938
D,0.9830589038837638,172.32461085055172,75.98239613996195
D,1.996047460281981,179.81821721149657,71.57887917607776
D,3.0348573521824624,155.7824872225198,91.52517176500994
D,3.992524186506009,187.53832887673843,114.83713105338694
D,4.914779929680139,157.81852066875757,56.99838016041073
D,5.973091575210452,165.67998234921197,104.81584680125154
D,6.971175797193661,183.0727363675001,114.137632415706
D,8.25280825739183,166.32264755525026,132.24995820293194
D,9.011647402829322,172.35518402815447,151.20808836393496
D,10.215106763881645,134.8731460303167,198.2003584088963
D,11.154067096964358,157.54389836131412,144.22597088373715
D,12.17392380152819,146.47007746333173,68.71149706319024
D,13.088326254251482,150.31724687259776,52.80141208641696
D,13.865266008490254,147.44438751056103,88.17914911876424
D,14.99982985317264,163.46805565724145,111.35097362991296
D,15.736313353621036,170.74981277021118,106.26389521031054
D,17.095896025820046,146.1923157457779,257.7731737514479
D,18.314588987390252,138.72795311681136,328.37499490909374
D,18.622349973961978,156.33315288000756,349.70355645586073
D,19.91768589952433,166.85476352081784,312.09555092628244
D,20.506236989630143,191.1096542727872,259.32812377616006
D,21.23682552137386,185.1004486085893,64.05425898731592
D,23.050067965989296,177.34927016517378,101.20929252540353
E,0.0,194.760509139706,119.550414955507
E,1.0200946352725269,203.324064031982,65.37908098521352
E,2.049584554480268,199.6659476384416,78.32796424911987
E,3.0401811824304668,180.59664277751853,68.04279391629058
E,4.072877912311656,195.3440099502231,61.489244879088936
E,4.9394275929881655,229.6385013449177,49.63779515189445
E,6.0735499544632825,186.36286942410544,82.38985807469386
E,7.112366789884026,196.5996121013388,85.58446225709132
E,8.249433651837949,225.17855422576469,172.2015326300252
E,8.805519334820406,194.23963955185977,169.39822371064932
E,9.911810875997586,171.94072011814885,151.77932801879152
E,11.215760505264562,181.9557430867219,146.0495310296628
E,11.988590198418734,197.2375697418709,51.83759113478566
E,12.787381473399952,203.94592363498637,79.73025955912202
E,14.595611248411243,213.1600825064431,86.82657470416059
E,14.931558575495014,214.50219433168135,98.9202987315855
E,15.734006717137987,173.41821773931093,67.37618944607647
E,17.642652624323247,188.83945869848927,343.2287816427111
E,17.619182190917392,237.1435702635119,332.3469439897811
E,18.899825853304066,223.0464066119085,286.3559289614225
E,19.47043751633615,228.84218469574168,366.8744747486369
E,21.043948099992157,175.93821123729404,265.3918993979778
E,22.713407724361254,220.9392200507401,111.77051006002166
E,23.397595461783038,226.16416875477097,62.730072084744805
A,0.0,167.24377537341948,102.40085865053234
A,1.0104436093529918,161.30036557681177,111.98314748361582
A,1.9447943056988104,180.11444121168844,95.4353345143374
A,3.0534395843366213,184.65841314024564,97.02778700035384
A,4.085899949574437,179.0007995224457,77.14024026532505
A,4.992738954782399,189.450162575826,52.7894993494568
A,5.919342072434844,174.29774913817675,116.37069073678757
A,7.118955550790466,165.22276193012823,54.9617291581604
A,7.779880655986198,152.95671971332038,172.12547723953017
A,9.092834113758665,173.08123916943993,162.46381226751174
A,9.886216863947633,187.72643756467733,133.3715807360134
A,11.05729255771272,194.9856693750232,166.74273719576402
A,12.08027119472064,173.6478922254457,61.27425866050896
A,13.278549891227504,197.1528196653493,97.16674528753148
A,14.329885763911353,174.53245025360118,117.37877444229292
A,14.9669939953664,173.38696757738938,64.09363930029936
A,16.22619356213071,154.70390261131084,59.05652637567601
A,17.318266697336437,180.06911480383778,280.57729972684206
A,17.808105867505382,162.81834027903153,255.1127476734564
A,18.507286807889084,150.9345967382336,340.43282631785337
A,19.348147275037352,148.12794076194697,277.9677052355672
A,20.31799701753445,145.4573192435979,346.33243966198654
A,22.278808474006706,153.5608080555848,101.18182133168668
A,21.89360677653731,146.64294804046804,62.20945325009446
B,0.0,237.86321051605736,95.54945015318768
B,0.9910213447339922,198.40064867046132,51.18819999148821
B,1.983542071854958,244.56749169433985,116.83731225482262
B,3.0610161062381414,199.4330217622644,49.05759859541222
B,4.034595897721105,203.0827682208028,51.71138160318485
B,5.075532787642382,193.27698985431957,101.19469996692632
B,6.00413074277936,218.96215191743937,58.78144870571802
B,7.0313743197334,220.3774075993169,97.35167835982824
B,7.987324794245492,233.21868277566355,193.55334161686923
B,8.804020943059951,240.9383944917704,149.0099957324559
B,9.73914880493138,220.83690509199357,184.58052114695727
B,11.01284656696979,217.6566619440297,154.61615732071655
B,11.866429992974629,238.3564519857462,112.45476250269397
B,13.590618915466546,234.34900332532024,108.3684223645131
B,14.2055450150135,247.48684777935676,78.88871498529218
B,14.80145721412554,227.17340256072475,103.03458928770988
B,15.59493487067228,219.0824877627687,97.02474554690596
B,16.93750659736876,240.9389331787443,364.2417921082856
B,18.338154954256503,252.69411534104785,361.16880197147646
B,19.446630397742997,233.9013201640126,276.5085572954053
B,19.55844600335653,207.7406960869017,334.64907056111633
B,20.820774875008148,230.8700292601215,389.63870629076735
B,21.7178829917916,202.63245658785087,87.61213814095476
B,23.30991574456348,230.73858091411975,57.23167364698941
C,0.0,274.55845856670953,105.2005866790523
C,0.9890393577309484,248.16093557218787,61.63696833010608
C,2.005609229517744,248.0559937230105,99.92983259121036
C,3.0483344463415984,244.73732311538396,79.5793594266961
C,4.036486269862343,278.5963902846416,51.39308936730179
C,5.071156276674391,229.56723063752187,110.50827497199192
C,5.905071821643563,217.06195288191472,91.10218401710002
C,6.929693114909719,266.19555901234463,63.65870094012012
C,7.826246068029882,225.1383707997084,155.8198400199747
C,9.187365987113214,228.4502703093673,168.2729949480184
C,10.032923016992928,253.836608547274,128.3828524477922
C,11.144769709640329,226.6180790616897,161.094931854783
C,11.76354580883974,222.50276425106748,91.10629589132824
C,12.950708241999244,243.2977081658117,70.23427143059
C,14.075196862792977,242.32830042060132,99.91358697784932
C,15.60349517771872,265.3175007684992,96.125448588332
C,15.585263670640812,250.29755262003923,97.52372755348917
C,17.26297007211984,219.50432742479407,268.6353406911232
C,17.986805399688222,237.6349027681214,243.91478333780887
C,19.787712607499635,228.6514391713833,256.2467059211857
C,19.92483190509633,221.63311378342075,288.2722251222688
C,20.53886987971518,254.6581389574488,267.58080538111943
C,21.90992346302904,211.84134444747949,70.7622114231348
C,22.443744628714995,249.57138757636488,52.19707012016394
D,0.0,169.64021907272218,114.874589830601
D,0.9862606067748124,177.17396282301468,72.49568462354421
D,2.0830404773429114,182.56230296933987,73.32915595564278
D,3.0156297156814404,158.61617132342906,90.58801458098486
D,4.082157906466473,187.42815439946148,117.84311698826475
D,4.99348349148499,152.43126292203263,56.80962839984544
D,6.073381977439336,169.71149751290008,108.26866728969998
D,7.391309687870235,186.2746787619738,108.278277668983
D,8.019939287644963,163.20490103605323,133.8810637700024
D,9.0439237664153,167.5822893532831,149.14048836101216
D,9.801315529543738,130.8715506507966,189.6110735621299
D,11.21608301902794,154.3137653053833,140.8273818411612
D,12.21922718164994,143.63997971168428,68.84601433376444
D,13.05749895345812,150.39596119676662,51.25002415760152
D,13.925630476949816,149.52551974799266,86.5639729600865
D,14.842298975689358,160.02613563151266,110.61501227355754
D,15.734366122017166,175.8464897014968,107.93172723791028
D,16.90671207851154,145.98809148976244,249.36556151390383
D,18.08763942240908,135.2393193979618,332.48714864716186
D,18.767916724734096,151.10619531996693,365.7191932047017
D,20.02479959714982,174.42653241413743,307.34674837681433
D,21.956517346203327,184.23076490586604,261.032165387013
D,22.33092118541203,184.0539557608916,62.0977428216153
D,23.056083952803405,174.0368150870899,96.77190436272394
E,0.0,194.10858534802276,119.13479800182571
E,0.9828939792079744,203.33676595010067,66.39445213007588
E,1.937083217111459,188.0476301828332,81.26862493263486
E,2.9950085891125022,185.7911845204448,72.08596570520103
E,4.112247418110887,202.9802562561445,59.36881205024973
E,5.054237245179576,233.41533033681995,51.36124848529528
E,6.045969059749213,187.26066513660265,82.91758129211613
E,6.77124085270472,191.89127655345888,85.65340393300818
E,7.935713750058304,223.93384300901252,169.60305784925495
E,9.074589639094718,203.5527874458316,167.09468986312265
E,10.138491152252955,170.71750599489522,149.33120497731682
E,11.331571348005998,179.57849063032188,151.69266244474912
E,11.389052037220674,194.2953972208326,51.25029310488198
E,13.158496926516449,215.21798571602784,79.54194121213776
E,14.137868884762549,215.599697506441,91.76374749935016
E,15.622071202528558,213.6457729058663,93.8604112730592
E,15.933922279730538,178.33721146378616,69.25127158197034
E,16.95026594144704,186.99179308077885,334.1469540967057
E,17.913724759523863,237.9672231495099,336.9115072823328
