zone,avg_demand,high_demand
C,135.27497757779688,False
D,140.2386331339965,False
E,138.87448902364332,False
A,136.14938090790724,False
B,150.366904328271,False
C,126.65939719643738,False
D,143.54969194305573,False
E,144.25123839759164,False
A,137.27085723943884,False
B,140.7089803418657,False
C,144.0385628676732,False
D,150.33692415802253,False
E,134.1066674643513,False
A,133.3273971986691,False
B,150.87488666078792,False
C,138.40313044491245,False
D,139.16889168658068,False
E,138.1127201837113,False
A,152.7722238073637,False
B,141.4838031851668,False
C,130.33684547804333,False
D,139.56637296538835,False
E,151.17446664342177,False
A,147.37281407144266,False
B,160.40726267601792,False
C,143.2690898453959,False
D,147.2499280765623,False
E,143.32436090476693,False
A,145.83093388416677,False
B,158.73139647001744,False
C,136.44712632075607,False
D,156.71607534122003,False
E,145.69914453880676,False
A,140.8873580086179,False
B,162.87662248501937,False
C,129.4160376797598,False
D,140.10170654533565,False
E,138.53919554384848,False
