zone,hour,ev_count,demand,recommendation
E,17.0,189.0,343.0,PEAK
E,18.0,235.0,341.0,PEAK
E,19.0,221.0,284.0,PEAK
E,20.0,221.0,373.0,PEAK
E,21.0,180.0,267.0,PEAK
E,22.0,222.0,112.0,OFF-PEAK
E,23.0,228.0,62.0,OFF-PEAK
A,0.0,170.68360928134868,105.38147116765124,OFF-PEAK
A,0.9884018317571684,163.47026114501875,106.82734355508342,OFF-PEAK
A,1.985649173234068,177.98863421809045,97.14886261207064,OFF-PEAK
A,3.01250765212385,185.14212753296636,89.22813220840477,OFF-PEAK
A,3.945785638864773,185.94094747171,81.25834897751044,OFF-PEAK
A,4.92296423606909,191.70054429802477,50.11278265090055,OFF-PEAK
A,6.31120969546741,172.68617690004262,113.99296280745176,OFF-PEAK
A,7.07675771715399,170.33829172974427,56.488103595606944,OFF-PEAK
A,8.058791854224465,146.68048926719098,172.8890522344324,PEAK
A,8.956144558380856,160.70100979285013,164.7057454021812,PEAK
A,9.892729552028284,187.26710697384488,140.9856722636489,OFF-PEAK
A,10.80615632995356,187.99179784558947,169.46241471302275,PEAK
A,12.6163250658412,177.8533139988093,60.92621881936508,OFF-PEAK
A,13.077059456026836,195.03408299284047,96.5938060810493,OFF-PEAK
A,14.315446005054104,189.4752141784189,119.3951259238928,OFF-PEAK
A,14.804460077659105,179.39791959862677,67.42751820640488,OFF-PEAK
A,15.948318920208257,151.60837320461238,59.42856122393237,OFF-PEAK
A,16.853992638795432,183.8902186475288,275.3731766782046,PEAK
A,18.04226082195477,161.06611162020312,263.71592621166366,PEAK
A,18.574670758151417,154.26412826986655,341.19401888832647,PEAK
A,20.256378614905994,155.74648278006518,279.7026999557549,PEAK
A,21.10216339628012,141.6073991099783,350.71880431620133,PEAK
A,23.505534286412527,144.64916097079256,105.8233011210586,OFF-PEAK
A,23.227548382442585,148.67894188279786,62.25045851867037,OFF-PEAK
B,0.0,233.61914260197236,93.98327336069674,OFF-PEAK
B,0.9601267925707984,199.9767254968964,51.562641745056425,OFF-PEAK
B,2.1129352356791724,242.5914862224077,114.7510072345848,OFF-PEAK
B,2.9914274835228856,190.60672843379723,52.185923488814325,OFF-PEAK
B,3.947689993186919,208.85135528690867,51.31740123500763,OFF-PEAK
B,5.067216219440427,201.5131578239304,94.30303386719652,OFF-PEAK
B,6.007966820552365,227.0554007277204,59.45400111638999,OFF-PEAK
B,6.832962145766173,219.01882442754996,101.3920790144998,OFF-PEAK
B,8.15732645196053,231.50133185257852,197.89202845195337,PEAK
B,9.04969826709092,237.31278255011603,150.7488395314076,PEAK
B,9.801416889069293,227.4068639884692,170.14767669381578,PEAK
B,10.76979239031412,221.3496799181437,151.72249995092062,PEAK
B,12.27320984084261,251.5848601758113,113.18188026149112,OFF-PEAK
B,13.102142524756646,224.19176080817127,113.03728566651904,OFF-PEAK
B,13.286349461335403,257.29386906139985,80.28690927543003,OFF-PEAK
B,14.16675127744228,215.17445900432472,103.6268966117956,OFF-PEAK
B,15.952507251249402,215.8102714142431,92.3452423575241,OFF-PEAK
B,16.988058749695508,237.94932628296743,355.4217381439033,PEAK
B,18.52645514425892,238.2463095048434,364.6772784563868,PEAK
B,18.946454294878883,227.4886995556461,272.15225615091003,PEAK
B,19.345476255166925,210.10702479874092,348.3555543420991,PEAK
B,20.38568130924436,234.2215270706577,397.9151585869498,PEAK
B,22.15806298000164,207.1961894495124,89.53755650047783,OFF-PEAK
B,23.778852761775816,224.1809266317601,56.56573950939071,OFF-PEAK
C,0.0,267.219283396704,105.94644736641564,OFF-PEAK
C,0.9775908688086378,245.56284258259285,64.20999148443964,OFF-PEAK
C,1.994481816208568,241.28912142668725,98.41315708070827,OFF-PEAK
C,2.9136701892548187,225.54558220047093,82.54224445228343,OFF-PEAK
C,4.1426397188034505,258.2621746239108,51.32284804535255,OFF-PEAK
C,5.016994282613502,227.30659966424145,110.48868257788708,OFF-PEAK
C,6.036879317448709,220.449934936151,93.22306267624737,OFF-PEAK
C,6.997208223265858,273.53932065646325,60.8501463584853,OFF-PEAK
C,8.262365446654975,212.07297335390544,168.48737402443732,PEAK
C,8.871776509239995,228.13113738282837,165.24841750058965,PEAK
C,10.587666059041227,246.5869998518653,129.94517191773602,OFF-PEAK
C,10.656456306057876,225.74333253885888,152.61111330938456,PEAK
C,11.844778331289032,220.92621718995363,85.82537591520175,OFF-PEAK
C,12.99877760432718,237.5247439361179,71.05641108623655,OFF-PEAK
C,14.195256315999227,236.61762069639423,98.7048781225991,OFF-PEAK
C,15.024325689344218,264.12802078206533,98.1874093752828,OFF-PEAK
C,16.3300946632032,255.2621331874633,94.05101995678098,OFF-PEAK
C,16.397482917181744,210.16218742419707,264.9677604682689,PEAK
C,17.05261896697303,241.84820612654264,253.7508263300645,PEAK
C,18.76368555924562,229.13603164340404,264.00918477686804,PEAK
C,19.96624485553048,220.77160222901503,271.9683036857833,PEAK
C,21.01075336437716,251.40051872827928,282.0101019957495,PEAK
C,22.40898722335368,216.29023567412176,70.79048609877094,OFF-PEAK
C,22.559254595990275,251.3311637289251,52.044775717495725,OFF-PEAK
D,0.0,168.6838498278144,113.2735562409193,OFF-PEAK
D,1.015944788368715,181.5869558067967,75.09258366497968,OFF-PEAK
D,1.9428135037363077,177.30034874162695,70.9579100934299,OFF-PEAK
D,3.113244490909838,155.42064289077814,92.9769813170016,OFF-PEAK
D,3.924574321518113,185.67610186436843,117.03808493829531,OFF-PEAK
D,5.037155266742065,148.89418535791842,57.606519585387,OFF-PEAK
D,5.926019515679389,169.58036654407871,101.6280833303911,OFF-PEAK
D,6.825899984851187,185.8034148343587,110.96439306408872,OFF-PEAK
D,8.054121281012309,161.08675305122725,133.20194581185842,OFF-PEAK
D,8.748223664325431,167.42769342293312,152.76315305587673,PEAK
D,9.759754316291245,131.59412250804058,191.96036718468144,PEAK
D,11.008793646291789,150.44530030677922,133.72867997616953,OFF-PEAK
D,11.98253192429748,139.93128961818098,69.15033186461228,OFF-PEAK
D,12.725778226629204,145.86895746219548,52.00003763710466,OFF-PEAK
D,14.312143935440584,146.9165109454345,87.85569333781228,OFF-PEAK
D,14.90729258126492,155.29280515992727,110.9023576143172,OFF-PEAK
D,15.843236381618008,173.4628491434064,103.19829374853089,OFF-PEAK
D,17.075394220056356,144.77647302030533,255.91635575739892,PEAK
D,18.050358513818544,136.95464921164125,337.2014057046364,PEAK
D,18.69239114743498,153.07307191384362,341.7482668327454,PEAK
D,20.327162069927997,173.46106289921656,307.566633064782,PEAK
D,21.131752591369565,182.64270213435148,257.6177908909394,PEAK
D,22.45574014769564,183.08764049821175,62.97429329886036,OFF-PEAK
D,22.744003966358296,177.1560907650999,99.31680897216584,OFF-PEAK
E,0.0,202.35570638163912,122.3299926416174,OFF-PEAK
E,0.9875462845809724,207.00398557012863,63.50952072094448,OFF-PEAK
E,2.0235526915803463,199.24244366635196,78.61701574571286,OFF-PEAK
E,2.984623929292744,186.96970148558324,69.42626361778939,OFF-PEAK
E,4.100610356603973,194.71369051778396,59.86604157739889,OFF-PEAK
E,5.020183600843369,228.87409691296023,51.50185219126989,OFF-PEAK
E,5.912233771595856,185.27436849889625,80.36194030755595,OFF-PEAK
E,6.974352001475679,194.48719868178335,85.59034499619479,OFF-PEAK
E,8.009408153510652,217.93848382385497,173.53901269604194,PEAK
E,9.12890250936078,204.1204570227648,170.5037458360959,PEAK
E,10.105769576145851,172.45261483450292,155.01186162264793,PEAK
E,11.037402889292068,179.44573735482874,147.9849816857929,PEAK
E,12.247155316577643,194.0448547949624,52.53766966934438,OFF-PEAK
E,12.65005534501038,194.4521391508447,77.91199670757335,OFF-PEAK
E,13.596484894545805,213.92706309727103,89.45803017005774,OFF-PEAK
E,14.592692296884938,225.4566122327622,95.86645577023238,OFF-PEAK
E,15.662404652587862,181.29239237431517,67.87679992924853,OFF-PEAK
E,17.203102990298714,184.70697074491216,341.91501556807043,PEAK
E,18.21183446741073,249.05175323357255,344.7795528664967,PEAK
E,18.72009608391898,222.52863898613973,284.663145628981,PEAK
E,19.70764566597381,225.4561033746916,370.7398833527682,PEAK
E,19.989334127900527,180.9765661301175,272.60032351226954,PEAK
E,21.331584628920425,226.25831739211256,108.3715427412291,OFF-PEAK
E,23.372705286470836,228.4506295920484,63.0205247657569,OFF-PEAK
A,0.0,172.92822970956323,105.8158592977997,OFF-PEAK
A,1.0166197608399483,169.7105580431743,107.35868886406638,OFF-PEAK
A,1.932889794290551,183.48140969015532,91.89970254127932,OFF-PEAK
A,2.9626007066143147,188.79260859226943,95.67354818724397,OFF-PEAK
A,4.0958785586574535,183.44092957260844,77.31081218871431,OFF-PEAK
A,4.909028232345657,190.20554847287423,52.32637421031394,OFF-PEAK
A,5.9748564344966,176.8460745659944,115.87143430770854,OFF-PEAK
A,6.974584407208864,172.232623467735,58.45821694782986,OFF-PEAK
A,7.975853976612821,148.5236557762707,172.3101015386761,PEAK
A,9.05332286180568,174.72157102592732,158.67629908893605,PEAK
A,9.812315583016863,186.05711022374496,141.22848858964622,OFF-PEAK
A,11.124983714982545,191.4956132817511,163.48023771724277,PEAK
A,12.225154399786192,183.0311204388059,63.15624955911848,OFF-PEAK
A,13.016761088287195,199.33067074188384,97.1300301435826,OFF-PEAK
A,13.999482276040862,183.4964562536892,116.73093530497684,OFF-PEAK
A,14.785873138157111,173.45212072329684,65.77527236833097,OFF-PEAK
A,16.02196406140255,154.21349679254607,59.63454434376892,OFF-PEAK
A,17.088106666288887,185.4185126586162,282.0558154983747,PEAK
A,17.95602981694796,171.345887563831,267.083989796913,PEAK
A,19.07444632032985,149.7662610085996,343.1969522041762,PEAK
A,19.929976984799588,154.00163907767103,291.760692868055,PEAK
A,20.27010169328597,142.31799878133282,352.5355016552245,PEAK
A,21.159367947516017,146.20176990375424,97.45840368981412,OFF-PEAK
A,23.43484086338933,142.02821276540908,61.325179869662,OFF-PEAK
B,0.0,233.9105960790002,94.5643416902072,OFF-PEAK
B,0.9940018985089728,191.4567059245352,53.13512404516504,OFF-PEAK
B,1.9938106699433376,239.2838569500392,113.2925415458512,OFF-PEAK
B,3.0000761129524136,198.54088767409715,48.94985678315391,OFF-PEAK
B,4.042494971397671,208.380685380113,49.65496392947021,OFF-PEAK
B,5.1029098978669705,195.2799754151336,96.5311677368161,OFF-PEAK
B,5.944310807381008,225.01395710799497,59.97200783820022,OFF-PEAK
B,6.883478310033109,221.6598871542084,98.4746668175938,OFF-PEAK
B,8.092942168137144,230.85346474248016,195.0661128103848,PEAK
B,9.28105297063024,236.6304366612492,148.96707742862273,PEAK
B,9.953631960187812,234.89169287920492,176.8664289989161,PEAK
B,10.739426493890534,222.8576984546838,153.98355156220146,PEAK
B,11.9383171123117,245.0677854315696,109.38711050037963,OFF-PEAK
B,13.211203962144808,226.6523216527144,110.05001354034594,OFF-PEAK
B,14.082058596524025,239.2513564769509,78.94086620517149,OFF-PEAK
B,15.56060461350453,219.46158199377751,103.78965542501136,OFF-PEAK
B,16.245779984219315,219.01571304949883,94.1015684026933,OFF-PEAK
B,16.523370221389953,236.602657249998,350.54641078151025,PEAK
B,17.959510329358217,257.2692009492366,360.66334914153447,PEAK
B,18.25039345655369,237.9981630856044,272.62591906976377,PEAK
B,20.016128075174464,206.4029533531783,339.9468965121724,PEAK
B,20.98993107219357,233.3574131615412,380.5980913401236,PEAK
B,21.93906782812153,200.44339380581775,87.92124963792253,OFF-PEAK
B,22.804245534320486,231.03650018103284,57.33173510518204,OFF-PEAK
C,0.0,269.1757708128606,107.2782295097677,OFF-PEAK
C,0.951895990685692,240.3113710072053,61.3878376923196,OFF-PEAK
C,2.083455606514067,242.0077575574969,99.10105422009738,OFF-PEAK
C,3.0730433353287827,226.9853853997641,79.95971150386072,OFF-PEAK
C,3.9953600642821674,259.56573458225046,52.77780280603202,OFF-PEAK
C,4.970638881554816,222.3340103801909,111.75807756387752,OFF-PEAK
C,6.07067487543585,216.9604431532416,92.90574668310366,OFF-PEAK
C,6.741708780687604,273.21961523884454,60.4084367035494,OFF-PEAK
C,8.068582549427521,217.09232022556137,170.8999592007508,PEAK
C,8.890098248723811,227.429557360984,173.1250462143758,PEAK
C,10.104330723363752,245.83059791800912,123.79547756035942,OFF-PEAK
C,11.01392050045887,221.3576949958504,156.77518733039702,PEAK
C,12.45902773473421,216.86361043822143,91.0186545649174,OFF-PEAK
C,13.13720032681478,235.5419431109602,72.39194331873978,OFF-PEAK
C,14.38226941491805,234.9847125884334,99.3802711233066,OFF-PEAK
C,14.696136862474628,268.4864450297116,94.47743922345384,OFF-PEAK
C,15.459549300515944,259.1994563842708,96.30243328447668,OFF-PEAK
C,16.94486171720601,208.57853788515948,271.28032742042734,PEAK
C,17.81245969459564,240.67068472994984,258.7200347625253,PEAK
C,19.2244548764101,230.5810225291717,258.64955406741814,PEAK
C,20.842433791543,217.51284111473015,273.65984443029726,PEAK
C,21.26018468769133,247.5459868472821,268.15035193830835,PEAK
C,22.10659298643202,209.031424673496,69.56104095396323,OFF-PEAK
C,22.601328062341228,254.99474697501392,52.25356169583864,OFF-PEAK
D,0.0,176.69953765385492,112.7883057259486,OFF-PEAK
D,0.989692161647018,178.26710030020007,75.4060280883727,OFF-PEAK
D,1.9488903513207485,179.9843593329782,71.51838098154491,OFF-PEAK
D,3.020574327541417,163.20560160144737,95.27245063112171,OFF-PEAK
D,4.070610171547735,184.84483771954265,119.32009283868776,OFF-PEAK
D,5.134340936472669,154.3332989288971,57.79435077247398,OFF-PEAK
D,5.987612827312311,170.85782918478242,106.91447943839673,OFF-PEAK
D,7.018278471100259,185.23132455431863,116.69124305102548,OFF-PEAK
D,8.193460942001733,162.88864139261523,131.018678570948,OFF-PEAK
D,8.776396325099906,170.87248934667213,156.50558463553534,PEAK
D,10.133982480409278,135.16927905992785,196.80406421363415,PEAK
D,11.076523703682405,155.01562450815047,140.6403985245933,OFF-PEAK
D,11.734056435311167,143.40322511070974,67.19172904055361,OFF-PEAK
D,12.869396519764452,148.6835110979024,52.93427792274926,OFF-PEAK
D,13.749962400556926,144.59108704173772,85.26925646667874,OFF-PEAK
D,15.095178136898422,157.49202288588555,110.8530733672507,OFF-PEAK
D,15.93548389146227,168.9551200459589,108.4170034152668,OFF-PEAK
D,16.785367136167988,145.55664867421035,259.9847811980952,PEAK
D,18.31212108592712,138.1174010805141,323.53719216441,PEAK
D,19.380233463568587,156.70753116158895,357.5012909956121,PEAK
D,19.907042287416477,169.27169409019234,314.6877834457542,PEAK
D,21.82640904170755,180.1795731057661,259.0228449225122,PEAK
D,21.75937096278041,181.6011258380274,60.53075999963165,OFF-PEAK
D,23.503374167070408,177.9390278537777,98.25930832056304,OFF-PEAK
E,0.0,198.75370413995896,122.76106366543762,OFF-PEAK
E,0.9725898417377388,202.66157017623877,66.2663216852854,OFF-PEAK
E,2.045451620861259,193.49546814497216,79.68398810616915,OFF-PEAK
E,3.000753887725339,186.4553352006619,71.31706526730211,OFF-PEAK
E,3.984933678440839,200.66026116404237,59.93230181220237,OFF-PEAK
E,5.046076635394465,225.8429164494147,50.76809406252591,OFF-PEAK
E,5.99633437171763,188.45544309927675,82.65428365681224,OFF-PEAK
E,7.14764111733796,206.1197109838387,85.37130531740017,OFF-PEAK
E,8.138030835333332,212.55105099918208,170.31022822583444,PEAK
E,8.937121761560569,195.7893056232841,166.07094657716624,PEAK
E,9.959844676063192,176.91362743253893,153.37760913139562,PEAK
E,10.99100967178484,182.6908008811764,146.52059405104205,PEAK
E,12.253071765830455,192.9563861271427,52.093022947216426,OFF-PEAK
E,13.08474945467943,202.29778475172355,77.19194955173717,OFF-PEAK
E,14.413377962030872,214.9886344656916,87.9444094953501,OFF-PEAK
E,14.80455262451161,216.10394658170773,96.11096014047696,OFF-PEAK
E,15.983239785611053,179.98636848199845,65.35679882118713,OFF-PEAK
E,17.0995528363622,192.70737661894023,328.6269505425073,PEAK
E,18.186071942078087,235.80203311414743,340.48196446034893,PEAK
E,18.54926952709793,213.9730452811793,284.7972032551801,PEAK
E,19.47859385085912,225.62523340836893,367.3578976253641,PEAK
E,20.757021227592904,180.46080414382504,273.3189993467763,PEAK
E,22.846643670686746,224.6527522515751,112.2659169283296,OFF-PEAK
E,23.1274777046549,233.4265409591747,60.448584543076535,OFF-PEAK
A,0.0,165.17358752663077,108.40276346262137,OFF-PEAK
A,0.9927892397687634,165.5665568332056,112.29439514791862,OFF-PEAK
A,2.0277227946707743,176.91977046664454,95.17803114042312,OFF-PEAK
A,2.934007262285484,187.7852383791108,95.84054385577588,OFF-PEAK
A,3.8873317150560016,191.931617733146,80.69406658826422,OFF-PEAK
A,5.100745569207582,189.29492347525112,51.814362058935615,OFF-PEAK
A,5.949819246799219,169.89237846133915,114.89474612350416,OFF-PEAK
A,7.337556272531194,165.45327226903385,54.77317551375145,OFF-PEAK
A,8.043488251169503,145.40080985359734,166.0795630615672,PEAK
A,8.936033066180249,171.57421188274242,163.86150275160395,PEAK
A,9.91100637815163,189.54647893754483,138.49154353212305,OFF-PEAK
A,11.341899134968871,190.5054538443096,168.59131837991552,PEAK
A,12.156298443328929,179.7195142516327,61.46212284665194,OFF-PEAK
A,12.739069996221025,197.99539750591828,96.84291518650096,OFF-PEAK
A,13.873480287976616,183.45433793760836,121.0100829966614,OFF-PEAK
A,15.300577448109212,182.72059390105568,66.91527027439795,OFF-PEAK
A,15.539736324834225,153.21831297138604,58.00726860735747,OFF-PEAK
A,16.619344114561333,186.5351914459694,285.6078931002525,PEAK
A,17.636535313415692,167.8521493756517,266.7703411389332,PEAK
A,19.219858636030068,152.7671249310451,333.84474035763395,PEAK
A,20.63300469012293,152.72673502047456,284.1536242970595,PEAK
A,21.209790825807072,142.84872899022113,356.84070838346577,PEAK
A,22.063817422217937,150.87358311182794,100.34543951486228,OFF-PEAK
A,23.54845859347021,146.97887731689954,59.07631131883032,OFF-PEAK
B,0.0,236.95142152273812,98.27807113179394,OFF-PEAK
B,1.0156111828423018,203.9870618203828,51.41197750633766,OFF-PEAK
B,2.0032347202243157,248.97477035990244,114.4122313367442,OFF-PEAK
B,2.971773583342738,199.5421992782284,51.8575661139175,OFF-PEAK
B,4.10659486759851,196.69922141247528,50.772690150162106,OFF-PEAK
B,4.987205779647935,190.62502756458724,94.24925748210208,OFF-PEAK
B,5.775257630162879,220.02918154133656,59.82072457688366,OFF-PEAK
B,6.837512455914464,219.2188836882225,100.3365692497907,OFF-PEAK
B,8.199183551143921,228.6513317361221,197.8787484909153,PEAK
B,9.250009168705343,243.41318861012803,152.940091436664,PEAK
B,9.991760764037377,232.92688799886844,181.71678647164728,PEAK
B,10.98912534940581,224.8526022813141,148.4181865697467,PEAK
B,11.839990146333122,249.32857928068125,112.43905567291348,OFF-PEAK
B,13.1292515073495,228.9277893565369,107.67242514820896,OFF-PEAK
B,13.96474755179537,250.58908567123683,78.5347085874876,OFF-PEAK
B,14.977004434040644,216.61206852701292,105.04735890687992,OFF-PEAK
B,16.145222787375495,221.65665565272263,94.95751702449472,OFF-PEAK
B,17.32307789903282,237.6692778959511,361.1450376814017,PEAK
B,17.921084309978113,247.6567081065584,351.0438670581803,PEAK
B,19.13567973262772,231.0164858565844,270.3668617649627,PEAK
B,20.51932140952793,193.5747872901697,345.0268515485332,PEAK
B,20.70121991900704,228.9782241485347,374.4648965183991,PEAK
B,22.266119149740884,207.11824583564368,88.69678866262421,OFF-PEAK
B,23.441190059419377,221.24705563257683,56.26737621144426,OFF-PEAK
C,0.0,258.12784748741126,109.08930260316636,OFF-PEAK
C,1.0131162559056508,242.66170683413853,61.13348509866164,OFF-PEAK
C,2.039875166470389,240.93614307351325,99.13862829555347,OFF-PEAK
C,3.0407284710307616,227.88616920274976,80.22699901722679,OFF-PEAK
C,3.946595412653589,271.21910708707344,49.70704711875637,OFF-PEAK
C,5.0437278459550425,224.2776400688942,110.48823278223884,OFF-PEAK
C,6.042866016947556,222.38934290796783,92.88655712969366,OFF-PEAK
C,6.903038896534557,267.77790181289566,63.01583788557949,OFF-PEAK
C,7.822006908056136,228.06113748068307,163.3276601044278,PEAK
C,9.039029183315144,226.80588921281944,165.9231087083664,PEAK
C,9.96145270061112,241.31149153885616,120.76608831102372,OFF-PEAK
C,10.639847959769993,223.21677586835344,157.00470595573955,PEAK
C,12.193898138611424,217.34206893752685,92.15502124676296,OFF-PEAK
C,13.064172729947511,236.73012405093075,70.85184489548492,OFF-PEAK
C,13.929645316911392,240.0999810952217,96.16039255148252,OFF-PEAK
C,15.262172486742228,274.8603506721177,92.82345455949978,OFF-PEAK
C,15.924833575580411,253.9004202444853,94.32244801877437,OFF-PEAK
C,16.69029790997812,206.2913620402352,275.3147323756283,PEAK
C,17.542038017752084,244.55096552348292,250.63258231403591,PEAK
C,18.92836212104053,234.20472688269612,265.7271381690042,PEAK
C,19.835911175761492,212.3453334072228,282.6018489560998,PEAK
C,21.098407535257724,250.34651378746236,272.2489051604053,PEAK
C,22.721205559284776,212.42181075722425,68.07329986136995,OFF-PEAK
C,22.55737718950029,252.56400414868196,49.58469647363743,OFF-PEAK
D,0.0,168.48380403452805,109.32415236647012,OFF-PEAK
D,1.007159683990696,175.45177092507035,73.49036479024554,OFF-PEAK
D,1.991297006616396,180.9044987463392,72.53238474105508,OFF-PEAK
D,3.0248461775983144,156.05016237459225,90.09545098867208,OFF-PEAK
D,3.905136196697337,178.68594033244253,114.62151217420494,OFF-PEAK
D,4.841673566193537,160.65376108647922,56.257206934519616,OFF-PEAK
D,5.892457118448321,164.2104861686526,103.2144016441737,OFF-PEAK
D,7.112713928651326,177.98372560427646,115.88735401127045,OFF-PEAK
D,8.145728954067195,170.3020824991874,133.2661169890492,OFF-PEAK
D,8.852673569576472,167.65835234289446,155.21447850974226,PEAK
D,10.188899604966824,131.9135425087717,196.5679226699489,PEAK
D,11.044742192570574,155.2825137949032,140.0541113409199,OFF-PEAK
D,11.716805706064152,144.52910513275452,66.60421215458784,OFF-PEAK
D,13.03925920507305,148.1076010609228,53.43341690282208,OFF-PEAK
D,14.19284042035649,142.08076525987138,85.3238385002215,OFF-PEAK
D,15.217020255488428,159.94170831324024,111.32728357805348,OFF-PEAK
D,16.34564112238904,175.86670869286218,106.8294248177904,OFF-PEAK
D,16.852545429012334,147.67655836433988,250.70101575893764,PEAK
D,18.368457208931336,137.29809185628582,336.3784277680248,PEAK
D,19.391596853273175,159.26683014462986,350.6716025178248,PEAK
D,20.02619928986902,166.3109374822314,308.01865843408206,PEAK
D,20.950713008294287,187.24720441342137,262.00907053173177,PEAK
D,22.47564607789249,186.3127355855914,62.22800798972735,OFF-PEAK
D,22.713449138531768,180.15231114319292,100.28186942241604,OFF-PEAK
E,0.0,206.00054941247612,121.24478070257793,OFF-PEAK
E,1.0250499295867286,207.02225516560557,64.91072675691326,OFF-PEAK
E,2.044935838230607,192.809879270911,77.39300553941007,OFF-PEAK
